GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH)
100050514001,2,Block Group 1_ Tract 514,Sussex,2191,1309,329,474,41,4,34,1661,1063,265,291,28,2,12
100050513053,2,Block Group 3_ Tract 51305,Sussex,961,816,32,96,3,3,11,764,664,32,60,1,3,4
100050513061,2,Block Group 1_ Tract 51306,Sussex,1323,1224,45,14,23,10,7,1169,1100,40,10,14,2,3
100030141003,1,Block Group 3_ Tract 141,New Castle,2357,946,937,326,47,7,94,1510,719,545,174,38,2,32
100030147033,1,Block Group 3_ Tract 14703,New Castle,1815,1020,337,304,89,11,54,1388,849,244,191,67,9,28
100030147034,1,Block Group 4_ Tract 14703,New Castle,752,541,65,112,13,0,21,579,434,42,77,10,0,16
100030147031,1,Block Group 1_ Tract 14703,New Castle,1272,871,158,173,31,2,37,1028,748,124,108,27,2,19
100030147032,1,Block Group 2_ Tract 14703,New Castle,881,602,113,120,18,1,27,690,508,90,72,9,1,10
100030147051,1,Block Group 1_ Tract 14705,New Castle,1146,863,103,126,24,0,30,870,665,86,84,22,0,13
100030144022,1,Block Group 2_ Tract 14402,New Castle,2349,1645,164,105,377,8,50,2083,1458,139,89,359,7,31
100030144021,1,Block Group 1_ Tract 14402,New Castle,871,720,26,28,82,0,15,805,669,22,25,76,0,13
100030161001,1,Block Group 1_ Tract 161,New Castle,1169,678,417,40,7,3,24,925,576,312,23,3,3,8
100030162003,1,Block Group 3_ Tract 162,New Castle,869,638,129,88,1,1,12,667,517,92,52,0,1,5
100030163021,1,Block Group 1_ Tract 16302,New Castle,2852,1432,1042,179,145,0,54,2080,1113,737,102,109,0,19
100030163052,1,Block Group 2_ Tract 16305,New Castle,2430,1003,1074,226,74,3,50,1873,839,812,147,51,3,21
100030163051,1,Block Group 1_ Tract 16305,New Castle,3804,869,2180,283,360,5,107,2791,696,1564,195,277,2,57
100030162002,1,Block Group 2_ Tract 162,New Castle,1174,726,337,61,21,5,24,954,622,264,42,16,2,8
100030006022,1,Block Group 2_ Tract 602,New Castle,978,19,911,25,0,1,22,685,18,641,16,0,1,9
100030006023,1,Block Group 3_ Tract 602,New Castle,736,134,536,34,6,5,21,554,126,387,21,4,2,14
100030030022,1,Block Group 2_ Tract 3002,New Castle,700,6,640,46,0,0,8,349,4,323,18,0,0,4
100030030023,1,Block Group 3_ Tract 3002,New Castle,2203,540,1510,139,4,0,10,1990,536,1326,119,3,0,6
100030009003,1,Block Group 3_ Tract 9,New Castle,535,31,450,44,2,0,8,390,28,330,26,2,0,4
100030009001,1,Block Group 1_ Tract 9,New Castle,780,13,721,28,5,3,10,505,12,467,15,3,3,5
100030009002,1,Block Group 2_ Tract 9,New Castle,908,15,812,67,1,1,12,604,13,534,47,1,1,8
100030028002,1,Block Group 2_ Tract 28,New Castle,552,354,150,26,11,0,11,480,323,119,18,11,0,9
100030011001,1,Block Group 1_ Tract 11,New Castle,1262,1005,163,34,38,0,22,1189,952,150,31,35,0,21
100030011003,1,Block Group 3_ Tract 11,New Castle,936,725,138,37,22,4,10,911,711,128,36,22,4,10
100030138001,1,Block Group 1_ Tract 138,New Castle,2248,1785,192,188,49,2,32,1766,1469,138,107,39,1,12
100030022001,1,Block Group 1_ Tract 22,New Castle,1449,77,662,684,2,5,19,957,64,432,446,2,3,10
100030023003,1,Block Group 3_ Tract 23,New Castle,1216,223,552,420,8,0,13,879,201,405,261,6,0,6
100030124001,1,Block Group 1_ Tract 124,New Castle,1524,980,118,376,12,12,26,1158,831,86,213,10,6,12
100030122004,1,Block Group 4_ Tract 122,New Castle,1715,1135,99,434,23,2,22,1312,944,75,266,16,2,9
100030158022,1,Block Group 2_ Tract 15802,New Castle,1510,837,150,472,18,2,31,1103,696,106,278,12,1,10
100030136153,1,Block Group 3_ Tract 13615,New Castle,1414,1075,27,282,7,4,19,1290,1018,25,222,7,2,16
100030143002,1,Block Group 2_ Tract 143,New Castle,1592,1281,113,36,139,0,23,1393,1119,101,26,131,0,16
100030144041,1,Block Group 1_ Tract 14404,New Castle,2565,2033,178,82,211,1,60,2087,1681,137,63,170,1,35
100050505032,2,Block Group 2_ Tract 50503,Sussex,1586,729,280,537,15,2,23,1210,644,206,338,10,2,10
100050504061,2,Block Group 1_ Tract 50406,Sussex,1227,871,187,105,25,12,27,931,698,128,69,20,9,7
100050507063,2,Block Group 3_ Tract 50706,Sussex,54,54,0,0,0,0,0,53,53,0,0,0,0,0
100050507054,2,Block Group 4_ Tract 50705,Sussex,198,193,2,0,0,0,3,184,179,2,0,0,0,3
100050510072,2,Block Group 2_ Tract 51007,Sussex,1433,1339,34,27,16,2,15,1301,1229,27,21,15,2,7
100050510061,2,Block Group 1_ Tract 51006,Sussex,1263,1207,17,20,5,0,14,1106,1073,13,11,4,0,5
100050511031,2,Block Group 1_ Tract 51103,Sussex,539,517,6,12,2,0,2,494,474,6,11,1,0,2
100030026002,1,Block Group 2_ Tract 26,New Castle,1114,226,531,330,9,3,15,775,198,347,215,8,2,5
100030027002,1,Block Group 2_ Tract 27,New Castle,1276,263,509,458,3,1,42,885,226,350,284,3,0,22
100030144032,1,Block Group 2_ Tract 14403,New Castle,2267,1910,81,128,102,2,44,2141,1799,79,127,96,2,38
100030144031,1,Block Group 1_ Tract 14403,New Castle,1312,1034,89,87,56,2,44,1011,836,61,43,48,2,21
