GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
53073MTBKERAAAAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073731045,0,73Bham 45 Voting District,,1048,994,3,10,11,3,27
53073731115,0,73Bham 115 40th Voting District*,,812,656,15,28,67,6,40
53073731116,0,73Bham 116 40th Voting District,,1217,1093,6,20,53,9,36
53073731133A,0,,,0,0,0,0,0,0,0
53073730007,0,73Crescent 3 40th Voting District*,,995,927,4,7,29,3,25
53073730008,0,73Crescent 4 40th Voting District,,633,573,0,16,14,10,20
53073730061,0,73Valley E 40th Voting District,,1289,1178,9,37,29,9,27
53073730002A,0,,,0,0,0,0,0,0,0
53073730062,0,73Valley N 40th Voting District,,1798,1628,10,60,35,25,40
5305151011 A,0,,,0,0,0,0,0,0,0
53073WVBY42AAAAAAA,0,,,0,0,0,0,0,0,0
53073730029,0,73Glenhaven 40th Voting District*,,1617,1500,7,51,17,12,30
53073731085,0,73Bham 85 40th Voting District,,1150,888,13,100,78,38,33
53073731025,0,73Bham 25 Voting District,,739,705,1,11,9,2,11
53073731056,0,73Bham 56 40th Voting District,,1083,953,13,39,45,6,27
53073731076,0,73Bham 76 40th Voting District*,,1087,948,11,29,66,3,30
53073731046,0,73Bham 46 40th Voting District,,681,620,5,21,11,10,14
53073731026,0,73Bham 26 40th Voting District,,985,876,9,42,26,6,26
530473     ,0,47Anglin Voting District,,230,214,0,6,0,5,5
53073WVBE40A,0,,,0,0,0,0,0,0,0
53073731096,0,73Bham 96 40th Voting District,,536,469,2,17,9,13,26
53055556015,0,Waldron Island Voting District,,104,99,0,0,1,0,4
53073730034A,0,,,0,0,0,0,0,0,0
53073731016,0,73Bham 16 40th Voting District,,923,858,3,7,40,5,10
53073730063,0,73Valley S 40th Voting District,,528,474,2,13,8,6,25
53073731126,0,73Bham 126 40th Voting District,,1084,933,7,55,38,12,39
53073731086,0,73Bham 86 40th Voting District,,630,603,1,2,11,3,10
53073731036,0,73Bham 36 40th Voting District,,1131,1046,7,21,23,4,30
5304713    ,0,47Conconully Voting District,,318,298,0,0,1,13,6
53055552005,0,Orcas 3 Voting District,,1023,945,2,21,14,11,30
53055552004,0,Orcas 2 Voting District,,901,817,3,20,21,0,40
5304780    ,0,47Tonasket 3 Voting District*,,303,271,0,24,1,6,1
5304778    ,0,47Tonasket 1 Voting District,,400,350,0,34,6,0,10
53073WVBE40,0,WV Bellingham Leg 40 Voting District,,0,0,0,0,0,0,0
530476     ,0,47Bonaparte Voting District,,1065,842,6,181,1,9,26
53073731106,0,73Bham 106 40th Voting District*,,632,571,0,18,28,3,12
5304779    ,0,47Tonasket 2 Voting District,,247,198,0,40,1,6,2
530471     ,0,47Aeneas Voting District,,338,320,0,3,4,3,8
53073MTBKERAAAAAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
5304725    A,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAAAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073WVBY40,0,WV Bellingham Bay Leg 40 Voting District,,0,0,0,0,0,0,0
53073730006,0,73Crescent 2 40th Voting District,,766,733,0,10,8,4,11
53055WVLPES,0,WV Lopez-East Sound Voting District,,0,0,0,0,0,0,0
53055555009,0,Stuart Island Voting District,,52,48,0,3,1,0,0
53055552003,0,Orcas 4 Voting District,,1040,985,1,23,2,2,27
53073735000,0,73Newhalem Voting District,,37,37,0,0,0,0,0
53055552002,0,Orcas 1 Voting District,,1525,1458,4,22,12,7,22
53073730001,0,73Acme 1 40th Voting District,,17,17,0,0,0,0,0
5304741    ,0,47San Poil Voting District,,211,188,0,7,0,12,4
53055552005A,0,,,0,0,0,0,0,0,0
5301919006 A,0,,,0,0,0,0,0,0,0
5301919006 ,0,Gibraltar Voting District,,226,210,0,4,0,3,9
5301919019 ,0,Sherman Voting District,,275,254,0,10,1,5,5
5306565116 ,0,Marcus Voting District*,,117,112,0,3,1,1,0
5301919026 ,0,W Fork Voting District,,156,140,0,9,0,7,0
53055WVROSTA,0,,,0,0,0,0,0,0,0
5304714    ,0,47Crumbacher Voting District,,246,233,0,9,0,4,0
5301919018 ,0,San Poil Voting District,,264,231,0,3,1,13,16
5301919015 ,0,Republic 2 Voting District,,270,247,1,9,0,8,5
5301919014 ,0,Republic 1 Voting District,,276,261,0,1,1,3,10
53057MTBAKR,0,Mt Baker Nat'l Forest Voting District,,51,45,0,0,0,4,2
5306565015 ,0,Narcisse Voting District,,740,708,0,4,3,6,19
5306565042 ,0,Meyers Falls 1 Voting District,,1228,1154,3,17,4,19,31
5304741    A,0,,,0,0,0,0,0,0,0
5301919017 ,0,Republic 4 Voting District,,287,265,7,2,0,7,6
5301919016 ,0,Republic 3 Voting District,,121,104,0,7,1,7,2
5301919016 A,0,,,0,0,0,0,0,0,0
5305757145 ,0,Prairie Voting District,,1561,1413,6,87,18,14,23
5305757139 ,0,Minkler Voting District,,618,575,3,21,2,10,7
5305757132 ,0,Lookout Voting District,,1175,1110,3,27,7,5,23
5305757101 ,0,Alder Voting District,,753,721,0,23,1,4,4
5304739    ,0,47Riverside Voting District,,1098,794,2,137,1,145,19
5305757113 ,0,Bow Voting District,,949,853,0,58,23,7,8
5305757111 ,0,Birdsview Voting District,,715,680,0,9,5,1,20
5305757106 ,0,Baker Voting District,,198,195,0,0,0,2,1
53057WVSAMBA,0,,,0,0,0,0,0,0,0
5304737    A,0,,,0,0,0,0,0,0,0
5305757114 ,0,Cascade Voting District,,563,522,2,8,0,14,17
5305757127 A,0,,,0,0,0,0,0,0,0
53065WVFDRL,0,WV FDR Lake/Columbia River Voting District,,0,0,0,0,0,0,0
5306565043 ,0,Meyers Falls 2 Voting District,,642,592,0,9,7,20,14
53055551012,0,San Juan 3 Voting District,,580,549,2,8,6,4,11
5306565114 ,0,Kettle Falls 1 Voting District,,858,786,1,16,2,23,30
5306565115 ,0,Kettle Falls 2 Voting District,,669,587,0,26,2,29,25
5305757109 ,0,Belfast Voting District,,1433,1314,1,75,11,18,14
5304737    ,0,47Pine Creek Voting District,,36,31,0,5,0,0,0
5305151023 ,0,Kalispel-Leclerc Voting District,,371,181,1,5,1,178,5
5304745    ,0,47Tunk Creek Voting District,,105,90,0,14,0,1,0
5305757127 ,0,Guemes Voting District,,605,577,7,8,0,5,8
530476     A,0,,,0,0,0,0,0,0,0
5304746    ,0,47Twisp Rural Voting District,,1754,1691,2,17,6,16,22
53055551013,0,San Juan 4 Voting District,,873,810,1,31,2,10,19
53055557001,0,Blakey Voting District,,176,173,0,0,1,1,1
53055554008,0,Shaw Island Voting District,,235,221,1,1,1,4,7
53055551011,0,San Juan 2 Voting District,,1037,986,0,24,12,6,9
5301919010 ,0,Lake Ellen Voting District,,247,207,0,11,1,13,15
53055WVJUACA,0,,,0,0,0,0,0,0,0
5305757127 AA,0,,,0,0,0,0,0,0,0
5305757106 A,0,,,0,0,0,0,0,0,0
53057WVSAMBAA,0,,,0,0,0,0,0,0,0
5305757142 ,0,Norlum Voting District,,441,212,0,31,0,178,20
5305757146 ,0,Point Williams Voting District,,545,527,0,3,15,0,0
53057WVPADB,0,WV Padilla Bay Voting District,,0,0,0,0,0,0,0
53055553006,0,Lopez 1 Voting District,,1182,1095,0,29,13,13,32
5305757122 ,0,Edison Voting District,,682,628,1,35,9,5,4
5306565006 ,0,Colville Valley Voting District,,1134,1049,1,10,16,16,42
5305151017 ,0,Ruby Voting District,,80,69,1,4,0,3,3
5306565006 A,0,,,0,0,0,0,0,0,0
5304723    ,0,47Hudson Voting District,,115,107,2,3,0,1,2
5306565052 ,0,Orin 1 Voting District,,524,493,2,5,6,7,11
53057WVSAMBAAA,0,,,0,0,0,0,0,0,0
5305757106 AA,0,,,0,0,0,0,0,0,0
53057WVSAMB,0,WV Samish Bay Voting District,,0,0,0,0,0,0,0
5305757125 ,0,Fruitdale Voting District,,1526,1311,49,76,26,28,36
5306565105 ,0,Colville 1 Voting District,,639,557,0,28,3,30,21
53055WVJUAC,0,WV San Juan Chan Voting District,,0,0,0,0,0,0,0
5305757137 ,0,McRae Voting District*,,792,743,0,13,8,8,20
53055551014,0,San Juan 5 Voting District,,974,936,4,4,6,10,14
5305757103 ,0,Allen Voting District,,965,818,0,116,10,2,19
5305757123 ,0,Hoogdal Voting District*,,914,860,1,31,9,5,8
53055551101A,0,,,0,0,0,0,0,0,0
5305757148 ,0,Rockport Voting District,,434,406,1,9,0,3,15
5306565106 ,0,Colville 2 Voting District*,,465,435,0,10,1,9,10
5306565110 ,0,Colville 6 Voting District*,,595,550,3,4,11,12,15
5300707221 ,0,Stehekin Voting District,,100,98,0,0,1,0,1
5305757601 ,0,Concrete Voting District*,,790,727,0,21,7,20,15
5306565111 A,0,,,0,0,0,0,0,0,0
5306565108 ,0,Colville 4 Voting District,,735,698,1,12,1,2,21
5306565111 ,0,Colville 7 Voting District,,730,662,1,14,3,20,30
5306565107 ,0,Colville 3 Voting District,,507,456,1,15,3,20,12
53055551101,0,Friday Harbor 1 Voting District,,1258,1105,8,71,24,21,29
5305757107 ,0,Sauk Voting District,,1813,1693,6,41,9,20,44
53057WVSR40,0,WV Skagit River Leg 40 Voting District,,0,0,0,0,0,0,0
53055553006A,0,,,0,0,0,0,0,0,0
5306565109 ,0,Colville 5 Voting District,,1317,1213,2,34,11,13,44
5305757701 ,0,Hamilton Voting District*,,309,281,0,9,2,10,7
53057WVGUEC,0,WV Guemes Channel Voting District,,0,0,0,0,0,0,0
53055551102,0,Friday Harbor 2 Voting District,,731,675,5,33,8,5,5
5306565019 ,0,Rice Voting District,,427,386,0,7,1,10,23
5305757855 ,0,Lyman Voting District*,,409,388,4,3,1,6,7
5305757155 ,0,Van Fleet Voting District*,,1104,984,0,80,3,18,19
53055551010,0,San Juan 1 Voting District,,1389,1350,1,18,6,3,11
5305757408 ,0,Sedro Woolley 8 Voting District*,,640,550,1,49,9,15,16
5304723    A,0,,,0,0,0,0,0,0,0
5305757407 ,0,Sedro Woolley 7 Voting District*,,674,610,0,42,5,9,8
5306565053 ,0,Orin 2 Voting District,,1101,1032,2,18,2,12,35
5305757154 ,0,Tingley Voting District,,666,603,0,34,2,8,19
5305757139 A,0,,,0,0,0,0,0,0,0
5305151022 ,0,Locke Voting District,,126,112,1,0,2,0,11
5305757201 ,0,Anacortes 1 Voting District,,1013,896,2,54,21,16,24
53055WVNBAY,0,WV North Bay Voting District,,0,0,0,0,0,0,0
53057WVANAN,0,WV Anacortes North Voting District,,0,0,0,0,0,0,0
5305757219 ,0,Anacortes 19 Voting District,,811,753,3,15,7,16,17
53057WVROSSAA,0,,,0,0,0,0,0,0,0
5305757108 ,0,Bay View Voting District,,875,820,0,14,9,11,21
53055WVGFBY,0,WV Griffin Bay Voting District,,0,0,0,0,0,0,0
5305757402 ,0,Sedro Woolley 2 Voting District*,,1651,1463,7,97,26,23,35
5305757401 ,0,Sedro Woolley 1 Voting District*,,1380,1208,2,122,13,13,22
5305757220 ,0,Anacortes 20 Voting District,,900,828,0,27,13,7,25
5305757112 ,0,Hoehn Voting District,,285,266,0,7,0,4,8
53057WVANAEA,0,,,0,0,0,0,0,0,0
5306565049 ,0,Arden 2 Voting District,,912,861,0,17,1,19,14
5305757217 ,0,Anacortes 17 Voting District,,1190,1079,1,32,13,12,53
5305757114 A,0,,,0,0,0,0,0,0,0
