GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
410670317032,1,Block Group 2_ Tract 31703,Washington,899,687,16,112,40,10,34,712,566,10,77,34,6,19,410,246,156,0,0
410670317031,1,Block Group 1_ Tract 31703,Washington,1618,1003,10,434,115,5,51,1169,796,9,243,88,3,30,673,403,256,0,0
410670315123,1,Block Group 3_ Tract 31512,Washington,3323,2077,39,246,833,3,125,2319,1500,28,165,572,3,51,1491,900,563,0,0
410670315122,1,Block Group 2_ Tract 31512,Washington,3443,2028,65,157,1059,4,130,2388,1470,42,95,727,1,53,1536,927,580,0,0
410670316112,1,Block Group 2_ Tract 31611,Washington,3406,1400,101,299,1488,8,110,2570,1109,74,196,1128,4,59,1236,807,405,0,0
410670317051,1,Block Group 1_ Tract 31705,Washington,1345,615,38,558,78,12,44,881,472,24,296,60,11,18,389,255,127,0,0
410670318061,1,Block Group 1_ Tract 31806,Washington,1569,884,76,393,140,7,69,1150,723,50,221,119,5,32,556,362,180,0,0
410670315133,1,Block Group 3_ Tract 31513,Washington,4842,2251,47,188,2186,9,161,2974,1447,28,104,1344,3,48,1972,1199,752,0,0
410670315142,1,Block Group 2_ Tract 31514,Washington,3068,2108,39,142,647,6,126,2037,1443,23,70,457,3,41,1270,760,496,0,0
410670315141,1,Block Group 1_ Tract 31514,Washington,1425,681,32,121,535,5,51,935,481,21,72,345,3,13,618,358,254,0,0
410670316091,1,Block Group 1_ Tract 31609,Washington,1170,897,35,100,107,5,26,989,782,22,69,90,5,21,649,403,234,0,0
410670321033,1,Block Group 3_ Tract 32103,Washington,4054,3457,27,263,143,12,152,2662,2325,17,137,102,6,75,1829,905,893,0,0
410670321043,1,Block Group 3_ Tract 32104,Washington,1448,1334,12,44,31,0,27,906,853,9,20,19,0,5,649,323,313,0,0
410670318122,1,Block Group 2_ Tract 31812,Washington,3098,2312,89,336,216,11,134,2597,2003,73,244,187,11,79,1172,769,380,0,0
410050223013,5,Block Group 3_ Tract 22301,Clackamas,925,816,10,52,22,9,16,646,590,7,18,19,4,8,402,221,174,0,0
410050224005,5,Block Group 5_ Tract 224,Clackamas,684,609,5,30,4,3,33,534,483,5,19,4,3,20,297,181,107,0,0
410050224004,5,Block Group 4_ Tract 224,Clackamas,651,569,4,43,6,9,20,533,463,4,37,6,8,15,295,181,107,0,0
410050224003,5,Block Group 3_ Tract 224,Clackamas,611,564,3,35,1,1,7,480,447,3,24,1,1,4,266,163,96,0,0
