GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
470633224,1,12-1 Alpha Elementary School Voting District,Hamblen,4593,4107,72,279,55,16,64,2090,580,1475
470633228,1,13-1 Cedar Hill Voting District,Hamblen,4738,4482,61,83,49,9,54,2259,523,1710
470633232,1,14-1 Manley Primary School Voting District,Hamblen,4905,4461,86,202,99,6,51,2090,545,1519
470633256,1,6-1 Fairview Marguerite Voting District,Hamblen,4518,3227,226,964,18,4,79,1374,480,870
470633240,1,2-1 Meadowview Middle School Voting District,Hamblen,4340,3005,324,904,22,6,79,1061,457,579
470633260,1,7-1 Cherokee Park Voting District,Hamblen,4106,3703,98,197,42,5,61,1870,478,1363
470633268,1,9-1 Russellive Primary School Voting District,Hamblen,2461,2337,42,55,2,4,21,930,247,670
470633272,1,9-2 Whitesburg School Voting District,Hamblen,2601,2508,38,15,5,2,33,955,248,687
470653480,3,050 Apison 1 Voting District,Hamilton,2577,2405,26,90,18,10,28,1523,391,1114
470653576,3,074 Mowbray Voting District,Hamilton,1612,1594,0,9,1,4,4,1012,271,731
470653600,3,080 Sale Creek Voting District,Hamilton,2360,2279,15,26,9,8,23,1359,362,975
470653476,3,049 Woodmore Voting District,Hamilton,2877,375,2381,65,12,2,42,711,610,98
470653284,3,001 Airport 1 Voting District,Hamilton,2858,1045,1195,476,62,8,72,793,561,224
470653388,3,027 Kingsport Voting District,Hamilton,3245,934,2173,44,21,4,69,1133,832,293
470653392,3,028 Lake Hills Voting District,Hamilton,2180,897,1165,58,23,7,30,732,458,264
470653465,3,097 Tyner 2 Voting District,Hamilton,3117,1852,974,139,95,9,48,1196,581,601
470653464,3,046 Tyner 1 Voting District,Hamilton,2489,1724,474,104,126,1,60,840,380,457
470653287,3,154 Airport 4 Voting District,Hamilton,527,428,47,36,10,0,6,170,72,97
470653285,3,112 Airport 2 Voting District,Hamilton,49,39,8,0,0,0,2,0,0,0
470653330,3,141 Concord 3 Voting District,Hamilton,825,651,108,27,27,1,11,336,94,241
470653308,3,007 Brainerd Hills Voting District,Hamilton,3680,2117,897,502,83,9,72,1254,626,614
470653384,3,026 Howard Voting District,Hamilton,1081,322,645,85,9,1,19,541,494,39
470653288,3,002 Alton Park Voting District,Hamilton,2774,153,2490,85,11,6,29,1467,1457,10
470653324,3,011 Clifton Hills 1 Voting District,Hamilton,1004,318,467,184,8,0,27,375,295,75
470653356,3,019 East Lake Voting District,Hamilton,5530,2365,1803,1195,22,24,121,1438,984,442
470653440,3,040 Piney Woods Voting District,Hamilton,980,24,927,7,0,0,22,497,494,0
470653452,3,043 St Elmo 1 Voting District,Hamilton,2585,1738,622,130,23,4,68,1539,986,524
470653296,3,004 Avondale Voting District,Hamilton,3929,126,3706,23,1,22,51,1357,1352,5
470653292,3,003 Amnicola Voting District,Hamilton,779,223,510,27,8,3,8,229,203,23
470653340,3,013 Courthouse Voting District,Hamilton,6971,4373,2267,167,82,30,52,1821,1326,469
470653420,3,035 North Chattanooga 1 Voting District,Hamilton,1326,1239,46,15,12,2,12,614,351,259
470653448,3,042 Riverview Voting District,Hamilton,3563,3289,99,99,26,8,42,1895,961,908
470653456,3,044 Stuart Heights 1 Voting District,Hamilton,2641,2372,112,70,63,3,21,1410,613,782
470653396,3,029 Lupton City Voting District,Hamilton,1370,1277,31,42,4,2,14,781,351,419
470653637,3,098 Harrison 3 Voting District,Hamilton,2218,1579,512,48,16,5,58,1067,458,591
470653416,3,034 Murray Hills Voting District,Hamilton,3705,2014,1448,117,60,6,60,1204,653,541
470653352,3,018 East Chattanooga 1 Voting District,Hamilton,2704,734,1841,34,0,9,86,786,684,95
470653372,3,023 Glenwood Voting District,Hamilton,3342,465,2742,76,13,1,45,1085,1026,59
470653312,3,008 Bushtown Voting District,Hamilton,2931,126,2704,55,0,8,38,1178,1162,16
470653300,3,005 Bonny Oaks Voting District,Hamilton,3622,798,2618,105,12,11,78,1359,1127,231
470653504,3,056 East Ridge 4 Voting District,Hamilton,3314,2792,225,195,63,4,35,1491,503,952
470653304,3,006 Brainerd Voting District,Hamilton,2452,1823,397,145,25,14,48,929,420,492
470653368,3,094 Eastgate 1 Voting District,Hamilton,1521,532,914,30,16,4,25,432,304,128
470653369,3,095 Eastgate 2 Voting District,Hamilton,3324,1314,1599,258,73,13,67,998,677,311
470653328,3,012 Concord 1 Voting District,Hamilton,3317,2453,443,217,113,6,85,1531,577,944
470653316,3,009 Cedar Hill Voting District,Hamilton,1575,930,279,309,14,11,32,379,203,175
470653404,3,031 Missionary Ridge Voting District,Hamilton,1701,1330,233,101,15,8,14,1011,449,552
470653325,3,133 Clifton Hills 2 Voting District,Hamilton,1358,142,1105,65,1,4,41,300,297,3
470653361,3,132 East Side 2 Voting District,Hamilton,245,39,74,127,0,4,1,43,36,7
